Svenska
Engelska
Matematik
Bild
Hem- och konsumentkunskap
Idrott och hälsa
Musik
Slöjd
Biologi
Fysik
Kemi
Teknik
Geografi
Historia
Religionskunskap
Samhällskunskap
Moderna språk
